PLATFORM_NUMBER,CYCLE_NUMBER,time,JULD_LOCATION,latitude,longitude,PRES,TEMP,PSAL,TEMP_QC,PSAL_QC
,,UTC,UTC,degrees_north,degrees_east,decibar,degree_Celsius,PSU,,
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1362.8,4.924,34.868,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1388.0,4.798,34.863,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1413.0,4.699,34.859,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1437.6,4.6,34.855,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1462.9,4.513,34.852,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1487.9,4.404,34.848,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1512.6,4.308,34.844,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1537.8,4.213,34.84,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1563.0,4.109,34.836,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1587.8,3.981,34.831,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1612.8,3.853,34.825,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1637.8,3.748,34.821,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1663.2,3.613,34.816,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1687.9,3.518,34.812,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1712.8,3.435,34.808,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1737.7,3.338,34.804,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1762.9,3.259,34.801,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1787.9,3.196,34.798,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1812.8,3.144,34.796,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1837.8,3.082,34.793,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1863.0,3.029,34.791,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1888.0,2.978,34.789,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1912.8,2.92,34.786,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1937.8,2.867,34.784,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1962.9,2.818,34.782,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1987.8,2.763,34.779,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,2012.7,2.715,34.777,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,2031.2,2.685,34.776,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,0.2,28.553,33.583,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,0.7,28.556,33.579,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1.7,28.553,33.577,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,2.8,28.547,33.58,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,3.8,28.544,33.582,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,5.0,28.544,33.58,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,5.9,28.541,33.582,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,6.9,28.556,33.582,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,8.1,28.571,33.585,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,8.9,28.569,33.585,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,9.7,28.57,33.583,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,15.0,28.73,33.712,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,25.2,28.842,33.834,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,35.6,28.84,33.859,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,45.4,28.849,33.89,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,55.3,28.87,33.929,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,65.5,28.915,33.979,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,75.5,29.143,34.315,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,86.1,28.707,34.538,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,95.1,27.187,34.424,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,105.5,25.404,34.411,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,115.7,24.405,34.694,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,124.7,23.103,34.815,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,135.2,22.021,34.871,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,145.3,21.136,34.862,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,154.8,20.268,34.872,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,165.4,19.554,34.887,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,175.5,18.661,34.856,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,185.6,17.41,34.828,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,195.4,16.682,34.886,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,213.0,15.776,34.922,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,238.8,14.523,34.949,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,262.7,13.515,34.99,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,288.1,12.86,35.008,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,312.7,12.398,35.018,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,337.7,12.02,35.03,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,363.0,11.569,35.031,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,389.0,11.229,35.034,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,412.8,11.015,35.037,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,437.7,10.761,35.034,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,462.7,10.536,35.033,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,487.7,10.337,35.033,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,512.8,10.183,35.032,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,537.8,10.036,35.031,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,562.9,9.841,35.026,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,588.0,9.653,35.022,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,613.2,9.471,35.018,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,638.5,9.276,35.013,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,663.0,9.123,35.009,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,687.6,8.959,35.005,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,712.6,8.814,35.001,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,737.7,8.672,34.998,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,762.7,8.512,34.993,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,788.1,8.351,34.988,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,813.1,8.182,34.982,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,837.9,7.991,34.976,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,862.6,7.841,34.972,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,887.5,7.698,34.968,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,912.4,7.555,34.964,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,938.4,7.38,34.958,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,963.2,7.246,34.953,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,988.0,7.114,34.948,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1013.0,6.964,34.942,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1038.1,6.79,34.935,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1063.0,6.653,34.93,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1087.8,6.523,34.925,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1112.7,6.381,34.92,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1137.6,6.26,34.914,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1162.6,6.151,34.911,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1187.7,6.029,34.906,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1212.8,5.921,34.901,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1237.9,5.789,34.896,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1262.8,5.702,34.894,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1287.7,5.595,34.889,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1312.6,5.489,34.885,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1337.8,5.388,34.881,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1363.0,5.281,34.877,1,1
2903891,48,2025-01-03T14:30:18Z,2025-01-03T14:30:18Z,12.933333333333334,89.81666666666666,1388.2,5.188,34.874,1,1
